term_original,best_domain
nose skin soft,derm_allergic_pruritic
Hives,derm_allergic_pruritic
Chronic Irritation ,derm_allergic_pruritic
itchyn,derm_allergic_pruritic
"Skin Rash, Stomach & Legs",derm_allergic_pruritic
sking hurts,derm_allergic_pruritic
PERENNIAL ITCHING ,derm_allergic_pruritic
Welts (Allergy),derm_allergic_pruritic
lung itch,derm_allergic_pruritic
Itchy tingly hands,derm_allergic_pruritic
Morning Hives,derm_allergic_pruritic
inconsolable/skin crawling,derm_allergic_pruritic
all over itchiness,derm_allergic_pruritic
Left thigh skin itching,derm_allergic_pruritic
arm rash,derm_allergic_pruritic
itchy skin,derm_allergic_pruritic
legs itchy,derm_allergic_pruritic
itchy eyes,derm_allergic_pruritic
itchy feet,derm_allergic_pruritic
sensitive face,derm_allergic_pruritic
spotty skin,derm_allergic_pruritic
itchiness,derm_allergic_pruritic
Tingly/itchy arms,derm_allergic_pruritic
rash on arms and chest,derm_allergic_pruritic
skin color,derm_allergic_pruritic
crawling feeling on skin,derm_allergic_pruritic
skin rashes,derm_allergic_pruritic
Spider bites,derm_allergic_pruritic
bum itch,derm_allergic_pruritic
Sensitive glands,derm_allergic_pruritic
nose skin hard,derm_allergic_pruritic
rash on arms,derm_allergic_pruritic
Rash,derm_allergic_pruritic
rash on hands,derm_allergic_pruritic
Sensitive skin,derm_allergic_pruritic
skin sensitvity,derm_allergic_pruritic
burning skin,derm_allergic_pruritic
Red Skin,derm_allergic_pruritic
Stinging in my hands,derm_allergic_pruritic
exfoliative,derm_allergic_pruritic
itching arms ,derm_allergic_pruritic
itchy fingernail,derm_allergic_pruritic
"Odd, dry, red rash",derm_allergic_pruritic
rough skin,derm_allergic_pruritic
other skin reaction,derm_allergic_pruritic
rash legs feet,derm_allergic_pruritic
heat sensitiv,derm_allergic_pruritic
face itching,derm_allergic_pruritic
itchy ears,derm_allergic_pruritic
itchy skin/scalp,derm_allergic_pruritic
tongue rash,derm_allergic_pruritic
Itch,derm_allergic_pruritic
Itchy,derm_allergic_pruritic
Neuropathic Itch,derm_allergic_pruritic
Mosquito bites,derm_allergic_pruritic
chronic hives and rashes,derm_allergic_pruritic
itchy face,derm_allergic_pruritic
skin tenderness,derm_allergic_pruritic
face rash,derm_allergic_pruritic
Tongue sores,derm_allergic_pruritic
butterfly rash,derm_allergic_pruritic
itchy sore eyes,derm_allergic_pruritic
extreme skin sensitivity,derm_allergic_pruritic
RLE Rash,derm_allergic_pruritic
itchy arms,derm_allergic_pruritic
Linear Rash,derm_allergic_pruritic
itching and painful nipples,derm_allergic_pruritic
itchy bumps,derm_allergic_pruritic
lip rash,derm_allergic_pruritic
flaky skin,derm_allergic_pruritic
Rash Chest and Back,derm_allergic_pruritic
itchy head,derm_allergic_pruritic
Underarm rash,derm_allergic_pruritic
nose peel ,derm_allergic_pruritic
Heat rash,derm_allergic_pruritic
chapped skin rash,derm_allergic_pruritic
itchy legs,derm_allergic_pruritic
poison ivy,derm_allergic_pruritic
Itchy labia,derm_allergic_pruritic
rash around knuckles,derm_allergic_pruritic
redness irritated ,derm_allergic_pruritic
psoriasis(scalp),derm_inflammatory
dermatitis atopic ,derm_inflammatory
Dercum's Disease / Lipedema,derm_inflammatory
lipidermasclerosis,derm_inflammatory
Dercum’s Disease,derm_inflammatory
Scalp Psorasis,derm_inflammatory
palmar plantar keratoderma,derm_inflammatory
Rosacea,derm_inflammatory
Staph infections,derm_inflammatory
Keratitis,derm_inflammatory
dermatitis on chin,derm_inflammatory
plaque psoriasis,derm_inflammatory
Folliculitis,derm_inflammatory
hairline psoriasis,derm_inflammatory
eye inflammation - visible marginal keratitis,derm_inflammatory
Dermatitis,derm_inflammatory
Skin Infections ,derm_inflammatory
Psoriasis,derm_inflammatory
Contact dermatitis,derm_inflammatory
Dermatology Issues,derm_inflammatory
skin infection,derm_inflammatory
Dermatophagia,derm_inflammatory
Scalp sores,derm_inflammatory
subcorneal pustular dermatitis,derm_inflammatory
Cellulitis,derm_inflammatory
hidradenitis suppurativa (HS),derm_inflammatory
autoimmune progesterone dermatitis,derm_inflammatory
Atopic dermatitis (eczema),derm_inflammatory
Alopecia Areata,derm_inflammatory
hydradentinitis superlative dermatitis ,derm_inflammatory
Lipoedema/Lipedema,derm_inflammatory
Actinic keratosis,derm_inflammatory
seberhoeic keratosis,derm_inflammatory
Esophogeal Ulcer,derm_inflammatory
seberhoeic dermatitis sebopsoriasis,derm_inflammatory
rash psoriasis,derm_inflammatory
lip chelitis,derm_inflammatory
Perioral Dermatitis,derm_inflammatory
Dermatillomania,derm_inflammatory
Topical Steroid Withdrawal,derm_inflammatory
scalp psoriasis,derm_inflammatory
Perioral Dermetitis,derm_inflammatory
white spots on hands,derm_inflammatory
ectreme dryness face,derm_inflammatory
red skin syndrome,derm_inflammatory
adhesive capsulitis,derm_inflammatory
Eczema,derm_inflammatory
Conjunctivitis,derm_inflammatory
dercum's disease,derm_inflammatory
Erythema nodosum,derm_inflammatory
skin condition,derm_inflammatory
periodontal dermatitis,derm_inflammatory
Dandruff,derm_inflammatory
hidradentitis suppuritiva,derm_inflammatory
Dermatographia,derm_inflammatory
uvitis,derm_inflammatory
edema face,derm_inflammatory
Juvenile Dermatomyositis,derm_inflammatory
Hidradenitis suppurativa,derm_inflammatory
SKIN LESIONS,derm_inflammatory
dermatitis in ears,derm_inflammatory
Pustular psoriasis ,derm_inflammatory
craniofacial hyperhidrosis,derm_inflammatory
seborrhoeic dermatitis,derm_inflammatory
Ocular rosacea,derm_inflammatory
guttate psoriasis,derm_inflammatory
red face related to palms,derm_inflammatory
dermatitis head,derm_inflammatory
Seborrheic dermatitis,derm_inflammatory
Sores on scalp,derm_inflammatory
scalp abscess,derm_inflammatory
Keratosis pilaris,derm_inflammatory
Skin Lesion,derm_inflammatory
Oral Herpes Simplex with ocular lesions,derm_inflammatory
dermatitis herpetiformes,derm_inflammatory
Acanthamoeba Keratitis,derm_inflammatory
"swelling under arm pits, under left ear, inside of both elbows, under left breast ",derm_inflammatory
dyshidrotic eczema,derm_inflammatory
hand eczema,derm_inflammatory
flare eczema,derm_inflammatory
facial dermatitis,derm_inflammatory
swollen glands - armpit,derm_inflammatory
scalp dermatitis,derm_inflammatory
peeling scalp,derm_inflammatory
Keratoconjunctivis Sicca,derm_inflammatory
eczema hands,derm_inflammatory
Dermatomyositis,derm_inflammatory
flaky scalp,derm_inflammatory
dry scalp,derm_inflammatory
palmar erythema,derm_inflammatory
Uveitis,derm_inflammatory
alopecia,derm_inflammatory
Androgenetic Alopecia,derm_inflammatory
mesenteric panniculitis,derm_inflammatory
Exzema,derm_inflammatory
psoriatic arthr,derm_inflammatory
Diabetes insipidus,diabetes
Diabetic retinopathy,diabetes
Diabetic coma,diabetes
Thirst,diabetes
Insulin Resistance,diabetes
Pre-Diabetes,diabetes
Metabolic syndrome,diabetes
Insulin Resistence,diabetes
type one diabetes,diabetes
Diabetes,diabetes
Extreme Thirst,diabetes
pre diabetes,diabetes
Blood sugar,diabetes
Familial Hypertriglyceridemia,diabetes
diabetes type 1,diabetes
Prediabetes,diabetes
LADA Diabetes,diabetes
Glucose Intolerance,diabetes
impaired glucose ,diabetes
Diabetes Type 2,diabetes
diebetes,diabetes
Low blood sugar/weak/shaky ,diabetes
shakey blood sugar,diabetes
Type 2 diabetes,diabetes
low blood sugar,diabetes
glucose,diabetes
Hyperglycemia,diabetes
Diabetes 1,diabetes
Borderline Diabetic,diabetes
hipoglucemia,diabetes
cf related diabetes,diabetes
Type 1 diabetes,diabetes
Hypoglycemia,diabetes
hypertriglycedemia,diabetes
diabetes Type two ,diabetes
High Blood Sugar,diabetes
Impaired glucose tolerance,diabetes
Diabetic hypoglycemia,diabetes
Cystic Fibrosis related diabetes,diabetes
pancreatic insufficiency,diabetes
diabeties,diabetes
reactive hypoglycemia,diabetes
Diabetes Mellitus,diabetes
blood sugar sensitivity,diabetes
excessive thirst,diabetes
diabetes II non insulin,diabetes
Hyperventilation Syndrome,eds_hypermobility
Hypermobility,eds_hypermobility
hyperreflexia,eds_hypermobility
Hyper iGe,eds_hypermobility
Ehlers Danlos Syndrome,eds_hypermobility
Joint Instability,eds_hypermobility
joint hypermobility,eds_hypermobility
Hypermobile Joints ,eds_hypermobility
Hyper-extending,eds_hypermobility
generalized joint hypermobility spectrum disorder,eds_hypermobility
Ehler-Danlos Syndrome,eds_hypermobility
Hypermobile Joint,eds_hypermobility
hypermobility spectrum disorder,eds_hypermobility
Hypermobility Spectrum Disorders,eds_hypermobility
ehlers danlos hypermobile,eds_hypermobility
Hyper mobility ,eds_hypermobility
Ehlers-Danlos Syndrome Hypermobility,eds_hypermobility
Hypermobility Disorder,eds_hypermobility
Hyperflexibility syndrome ,eds_hypermobility
Joint issues,eds_hypermobility
cervical hypermobility,eds_hypermobility
Ehler-Danlos Hypermobility,eds_hypermobility
ehler danlos syndrome,eds_hypermobility
Hypermobile Ehlers-Danlos Syndrome ,eds_hypermobility
Hypermobile joint syndrome,eds_hypermobility
idopathic intercrainial hyper,eds_hypermobility
hypermobility spectrum disorder (HSD) ,eds_hypermobility
Ehler's Danlos ,eds_hypermobility
hypermobility arthralgia,eds_hypermobility
Ehler's Danlos Syndrome,eds_hypermobility
hypermobile ehlers danlos syndome ,eds_hypermobility
Benign Joint Hyperlaxity Syndrome,eds_hypermobility
ehler danlos,eds_hypermobility
Elhers Danlos (hypermobility),eds_hypermobility
Hyper mobile joints,eds_hypermobility
hyper joint mobility ,eds_hypermobility
Ehlers-Danlos,eds_hypermobility
ehler’s danlos syndrome,eds_hypermobility
Hypermobilty ,eds_hypermobility
hypermobile Ehers-Danlos Syndrome,eds_hypermobility
Hypermobile Ehler’s Danlos Syndrome,eds_hypermobility
hypermobile ehlers-danlos ,eds_hypermobility
Joint Hypermobility Syndrome,eds_hypermobility
Hypermobility syndrome,eds_hypermobility
Hypermobile-joint Syndrome ,eds_hypermobility
Hypermobillity,eds_hypermobility
Ehlers-Danlos syndrome,eds_hypermobility
ehlers danlos,eds_hypermobility
Ehlers Danlos Syndrome: Type 3,eds_hypermobility
hypermobile ehlers danlos syndrome ,eds_hypermobility
hyperflexibility,eds_hypermobility
Postmenopausal Bleeding,endometriosis_gyne
Period pain,endometriosis_gyne
period cramps mid day,endometriosis_gyne
endo / uterus,endometriosis_gyne
Thoracic Endometriosis,endometriosis_gyne
endomitriosis,endometriosis_gyne
Pelvic congestive disease,endometriosis_gyne
IUD pain,endometriosis_gyne
pelvic contractions,endometriosis_gyne
period cramps night,endometriosis_gyne
bleeding,endometriosis_gyne
Endometriosis,endometriosis_gyne
Chronic pelvic pain,endometriosis_gyne
pelvic pain left,endometriosis_gyne
menstrual. bleeding,endometriosis_gyne
Pelvic Floor tightness,endometriosis_gyne
Left Ovary Pain / Throbbing,endometriosis_gyne
endometriose ,endometriosis_gyne
Right ovary pain,endometriosis_gyne
Cramping/Spotting,endometriosis_gyne
Painful Menstruation,endometriosis_gyne
Uterine Cramping,endometriosis_gyne
Chronic Pelvic Pain (Adenomyosis),endometriosis_gyne
Right Ovary Pain / Throbbing,endometriosis_gyne
ovarian pain,endometriosis_gyne
pelvic floor pain,endometriosis_gyne
uterus cramps,endometriosis_gyne
Menstrual cramps,endometriosis_gyne
period cramps morning,endometriosis_gyne
Nipple pain,endometriosis_gyne
hysterectomy,endometriosis_gyne
gynae symptoms,endometriosis_gyne
sudden cramps followed by bleeding,endometriosis_gyne
Menstrual bleeding,endometriosis_gyne
pelvic congestion s,endometriosis_gyne
Uterine prolapse,endometriosis_gyne
Burning uterus,endometriosis_gyne
Pelvic floor dysfunction,endometriosis_gyne
Pelvic congestion ,endometriosis_gyne
uterine bleeding,endometriosis_gyne
Cervical Issues,endometriosis_gyne
pelvic floor tension syndrome,endometriosis_gyne
Period Symptoms,endometriosis_gyne
Dysmenorrhea,endometriosis_gyne
uterus pain,endometriosis_gyne
Internal hemorrhoids,endometriosis_gyne
adominal cramping,endometriosis_gyne
Menstrual pain,endometriosis_gyne
pelvic,endometriosis_gyne
Menstrualni grcevi ,endometriosis_gyne
heavy menstrual bleeding,endometriosis_gyne
dysfunctional uterine bleeding,endometriosis_gyne
testicle pain,endometriosis_gyne
ovarian cyst pain,endometriosis_gyne
pelvic cramps,endometriosis_gyne
burning pain in breasts,endometriosis_gyne
Menstruationsbeschwerden,endometriosis_gyne
prolapse utuerus,endometriosis_gyne
uterine pain,endometriosis_gyne
Contraction Cramps,endometriosis_gyne
Dysmenorrhoea,endometriosis_gyne
"tenderness, usual spots",endometriosis_gyne
post orgasm cramps,endometriosis_gyne
andometriosis,endometriosis_gyne
period cramps,endometriosis_gyne
Double uterus,endometriosis_gyne
Painful intercourse (dyspareunia),endometriosis_gyne
Endometriosis/GI Upset,endometriosis_gyne
hypermenorrhea,endometriosis_gyne
Pelvic Congestion Syndrome,endometriosis_gyne
Hemorrhoids,endometriosis_gyne
breast pain when I am on my period ,endometriosis_gyne
Periodontis,endometriosis_gyne
period pains,endometriosis_gyne
Acute Period Pain,endometriosis_gyne
pain during sex,endometriosis_gyne
pelvic dysfunction,endometriosis_gyne
endometrosis,endometriosis_gyne
menstrual cramping ,endometriosis_gyne
ovary pain,endometriosis_gyne
pelvic pain,endometriosis_gyne
painful period,endometriosis_gyne
"Endometriosys , Crohn’s Disease , Adenomiosys ",endometriosis_gyne
pelvic muscle spasm,endometriosis_gyne
Left Ovary Pain,endometriosis_gyne
intense sharp pain pelvic floor,endometriosis_gyne
Cramps/Endo,endometriosis_gyne
post cystectomy syndrome,endometriosis_gyne
ovulating pain,endometriosis_gyne
Endometrois,endometriosis_gyne
endometriosis stage 4 severe,endometriosis_gyne
menstrual spotting,endometriosis_gyne
menstrual issues,endometriosis_gyne
pelvic adhesions,endometriosis_gyne
Pelvic organ prolapse,endometriosis_gyne
crushing pain between breasts,endometriosis_gyne
right side pelvic pain,endometriosis_gyne
Menorrhagia,endometriosis_gyne
menstral pain,endometriosis_gyne
uterine pain and cramping,endometriosis_gyne
oscillopsia,endometriosis_gyne
ovulation pain,endometriosis_gyne
breast tenderness,endometriosis_gyne
ovarian cramps,endometriosis_gyne
Focal Seizures,epilepsy_seizure
Partial seizures,epilepsy_seizure
seizures,epilepsy_seizure
partial complex seizures,epilepsy_seizure
non epileptic seizures,epilepsy_seizure
Non-Epileptic Attacks/Seizures,epilepsy_seizure
Frontal lobe seizures,epilepsy_seizure
Epilepsy,epilepsy_seizure
Complex partial seizures,epilepsy_seizure
IED (intermittent explosive disorder),epilepsy_seizure
stress induced seizures,epilepsy_seizure
non epileptic attack disorder,epilepsy_seizure
childish seizure,epilepsy_seizure
Day Seizure,epilepsy_seizure
psuedo seizures,epilepsy_seizure
Grand mal seizure,epilepsy_seizure
non epileptic attack diorder,epilepsy_seizure
Complex partial seizure,epilepsy_seizure
Absence seizure,epilepsy_seizure
temporal lobe epilepsy,epilepsy_seizure
absent seizures,epilepsy_seizure
non epilepti,epilepsy_seizure
Seizure Disorder,epilepsy_seizure
nonepileptic seizures,epilepsy_seizure
Night Seizure,epilepsy_seizure
pseudo seizures,epilepsy_seizure
partial seizure disirder,epilepsy_seizure
non epiletic seizures,epilepsy_seizure
simple partial seizures,epilepsy_seizure
Myoclonic seizures,epilepsy_seizure
Temporal lobe seizure,epilepsy_seizure
Psychogenic Non-Epileptic Seizure (PNES),epilepsy_seizure
Non-Epileptic Seizures,epilepsy_seizure
Febrile seizure,epilepsy_seizure
Seizure,epilepsy_seizure
Petit mal seizure,epilepsy_seizure
big seizure,epilepsy_seizure
psychogenic seizures,epilepsy_seizure
Psychogenic non-epileptic seizures,epilepsy_seizure
Fibrom,fibromyalgia
Fibro CFS,fibromyalgia
fibromyalgia - night,fibromyalgia
fibromyalgia - day,fibromyalgia
FIBROMYALGIA-I,fibromyalgia
fibromi,fibromyalgia
fibromyaglia,fibromyalgia
fibromyalgia - morning,fibromyalgia
fi,fibromyalgia
Fybromialgia,fibromyalgia
fybromyligia ,fibromyalgia
fibromyalgi,fibromyalgia
Fibrodysplasia,fibromyalgia
fibr,fibromyalgia
fibromaylgia,fibromyalgia
fibrofog,fibromyalgia
Fibromylagia ,fibromyalgia
Fibro- Fog,fibromyalgia
Fibro-like pain on the,fibromyalgia
Fibromuscular dysplasia,fibromyalgia
Fibrous dysplasia,fibromyalgia
Fibromyalgeia,fibromyalgia
Fibro Myaligiq,fibromyalgia
fiberomyalgia,fibromyalgia
Fibromyalgia,fibromyalgia
fibromyalgia pain,fibromyalgia
Hypermobility/Fibromyalgia,fibromyalgia
Fibro Flare,fibromyalgia
cystis fibrosis,fibromyalgia
fibromy,fibromyalgia
fibro,fibromyalgia
Fibro Pain,fibromyalgia
Fibroadenoma,fibromyalgia
Juvenile fibromyalgia,fibromyalgia
fibromylgia,fibromyalgia
Muscle cramp,fibromyalgia
fasculations,fibromyalgia
Flu Pain,fibromyalgia
fibrosis ,fibromyalgia
Neurofibromatosis,fibromyalgia
fibroymalgia ,fibromyalgia
Fibromylaga ,fibromyalgia
Cystic fibrosis,fibromyalgia
Fibro fog,fibromyalgia
fibromyalgia flair up,fibromyalgia
fibromyalgie,fibromyalgia
fibromyalgia m.e.,fibromyalgia
Fibromyalgia Questioning,fibromyalgia
fibromyaliga,fibromyalgia
Fidgety,fibromyalgia
chronic fatigue and fibromyalgia ,fibromyalgia
Fibromialgia ,fibromyalgia
fib,fibromyalgia
fibro/MFS/ME,fibromyalgia
Fiibromyalgia ,fibromyalgia
Fibromygia ,fibromyalgia
Fybromyalgia,fibromyalgia
fibomyalgia,fibromyalgia
fibromyagia ,fibromyalgia
fibromya,fibromyalgia
Fibromalgia,fibromyalgia
"fibromyalgia, chronic fatigue, complex regional pain Syndrome",fibromyalgia
neck tremor,fnd_neurologic_other
Misophonia,fnd_neurologic_other
trembling,fnd_neurologic_other
vertigo,fnd_neurologic_other
action tremors ,fnd_neurologic_other
shaking,fnd_neurologic_other
Malocclusion,fnd_neurologic_other
myoclonic dystonia ,fnd_neurologic_other
Opsoclonus Myoclonus Syndrome,fnd_neurologic_other
"Tremor, arms/hands",fnd_neurologic_other
dysautomnia,fnd_neurologic_other
Shaky Legs,fnd_neurologic_other
"Neuro Symptoms : tremor, vertigo, stimulus sensitivity ",fnd_neurologic_other
dysthesia,fnd_neurologic_other
Central tremor,fnd_neurologic_other
Tremor Bein,fnd_neurologic_other
dysgraphia,fnd_neurologic_other
Movement,fnd_neurologic_other
dysphonia ,fnd_neurologic_other
essential tremors,fnd_neurologic_other
internal tremors ,fnd_neurologic_other
muscle twitching,fnd_neurologic_other
twitches,fnd_neurologic_other
Orthostatic tremor,fnd_neurologic_other
Dwarfism,fnd_neurologic_other
spastic pupil,fnd_neurologic_other
Spasticity,fnd_neurologic_other
follicultis,fnd_neurologic_other
Tremor Hand,fnd_neurologic_other
Hands Twitching,fnd_neurologic_other
motion sickness,fnd_neurologic_other
Anhedonia,fnd_neurologic_other
cervicogenic vertigo,fnd_neurologic_other
Tremor,fnd_neurologic_other
arm twitching,fnd_neurologic_other
twitchy legs,fnd_neurologic_other
Limited Vision,fnd_neurologic_other
tremor in hand ,fnd_neurologic_other
depession,fnd_neurologic_other
dyscalculia,fnd_neurologic_other
constapation,fnd_neurologic_other
Shaky/Lightheaded,fnd_neurologic_other
vibrating,fnd_neurologic_other
globus sensation,fnd_neurologic_other
Dyspraxia,fnd_neurologic_other
Dysautonomia,fnd_neurologic_other
facial twitching,fnd_neurologic_other
thumb twitching ,fnd_neurologic_other
Eye movement,fnd_neurologic_other
Coccyx,fnd_neurologic_other
eye distortion,fnd_neurologic_other
dysphasia,fnd_neurologic_other
transverse mylitus,fnd_neurologic_other
tremors,fnd_neurologic_other
Myoclonic spasms,fnd_neurologic_other
Twitching,fnd_neurologic_other
Dysmotility,fnd_neurologic_other
blurry eyes,fnd_neurologic_other
Formication,fnd_neurologic_other
Esotropia,fnd_neurologic_other
arm tremor,fnd_neurologic_other
Myoclonus,fnd_neurologic_other
eye tremor,fnd_neurologic_other
Essential tremor,fnd_neurologic_other
eye coordination loss ,fnd_neurologic_other
Misc Other Spasm,fnd_neurologic_other
Lazy eye (amblyopia),fnd_neurologic_other
shaky,fnd_neurologic_other
bouncing eyes,fnd_neurologic_other
slightly dizzy,fnd_neurologic_other
Myalgic ,fnd_neurologic_other
Shaking hands ,fnd_neurologic_other
Dismotility,fnd_neurologic_other
shaky left hand,fnd_neurologic_other
shaky both hands,fnd_neurologic_other
dyskinesia,fnd_neurologic_other
eye twitching,fnd_neurologic_other
dizzy,fnd_neurologic_other
visual disturbance,fnd_neurologic_other
Familiar tremors,fnd_neurologic_other
hands shaking,fnd_neurologic_other
Stuttering,fnd_neurologic_other
Clumsy ,fnd_neurologic_other
Spasmodic ,fnd_neurologic_other
visual disturbances ,fnd_neurologic_other
mini stroke ,fnd_neurologic_other
Left arm tremor ,fnd_neurologic_other
Hand Tremors,fnd_neurologic_other
Hand tremor,fnd_neurologic_other
left arm tremble,fnd_neurologic_other
Myoclonic Jerk,fnd_neurologic_other
dizzy spell ,fnd_neurologic_other
Disphonia,fnd_neurologic_other
hand tremor - left,fnd_neurologic_other
Tourettes,fnd_neurologic_other
Food Aversion,food_allergy_intolerance
celiacs,food_allergy_intolerance
food senitivies,food_allergy_intolerance
Food sensitivities ,food_allergy_intolerance
milk intolerance,food_allergy_intolerance
food addiction,food_allergy_intolerance
Lactose,food_allergy_intolerance
cold intolerance,food_allergy_intolerance
Salicylate intolerance,food_allergy_intolerance
Eating restriction,food_allergy_intolerance
gluten sensitivity ,food_allergy_intolerance
food impaction,food_allergy_intolerance
Food reactions,food_allergy_intolerance
Heat Intolerance,food_allergy_intolerance
Lactose intolerance,food_allergy_intolerance
Sulphur intolerance,food_allergy_intolerance
Food sensitivity,food_allergy_intolerance
Chemical Intolerance,food_allergy_intolerance
lactose intolerant,food_allergy_intolerance
snotty attack after food ,food_allergy_intolerance
Food Allergies/Belly swelling,food_allergy_intolerance
Ate gluten ,food_allergy_intolerance
Fructose Malabsorption,food_allergy_intolerance
dairy intolerance ,food_allergy_intolerance
non-coeliac gluten sensitivity,food_allergy_intolerance
Tannin Intolerance,food_allergy_intolerance
Egg Intolerant,food_allergy_intolerance
temperature intolerance,food_allergy_intolerance
Alcohol intolerance,food_allergy_intolerance
Fructose intolerance,food_allergy_intolerance
gluten intolerance,food_allergy_intolerance
Food allergy,food_allergy_intolerance
Food Intolerances,food_allergy_intolerance
amine intolerance,food_allergy_intolerance
Avoidant/restrictive food intake disorder,food_allergy_intolerance
Gastrits,gastroparesis
intestinal dysmotility,gastroparesis
undiagnosed gastro thing ,gastroparesis
Gastro dysmotility,gastroparesis
gastro oesophageal reflux disease,gastroparesis
gasteoperisis,gastroparesis
trapped gas,gastroparesis
Gastro Problems,gastroparesis
Chronic Gastritis,gastroparesis
Gastrointestinal bleeding,gastroparesis
possible gastroparesis,gastroparesis
gastric reflux diseaae,gastroparesis
Gastrparasis,gastroparesis
erosive gastritis,gastroparesis
diabetic gastroparesis,gastroparesis
Gastrointestinal Dysmotility,gastroparesis
delayed gastric emptying ,gastroparesis
Gastroperesis,gastroparesis
delayde gastric emptying ,gastroparesis
gassy,gastroparesis
intestinal gas ,gastroparesis
Gastric Wind,gastroparesis
idiopathic gastroparesis,gastroparesis
Gastroesophageal reflux disease,gastroparesis
Impaired Gastric Empyting,gastroparesis
gastropariesis ,gastroparesis
Functional Gastrointestinal Dysmotility Disorder,gastroparesis
Gastric Sleeve,gastroparesis
gastric bypass,gastroparesis
mystery gastro,gastroparesis
Neuro muscular Gastrointestinal ,gastroparesis
gastric stimulator ,gastroparesis
gasteroparesis,gastroparesis
Gastroparesis,gastroparesis
gastro,gastroparesis
delayed gastric motility,gastroparesis
gastric dysmotility,gastroparesis
Gastric reflux,gastroparesis
Gastric dumping,gastroparesis
Erosive gastropathy,gastroparesis
Kidney stones,gu_kidney_bladder
renal tubular acidosis,gu_kidney_bladder
incontinence ,gu_kidney_bladder
Renal papillary necrosis,gu_kidney_bladder
interstidual cystitis ,gu_kidney_bladder
renal nutcracker syndrome,gu_kidney_bladder
Chronic kidney stones,gu_kidney_bladder
Acute kidney failure,gu_kidney_bladder
intersticial cystitis,gu_kidney_bladder
end stage 3 kidney disease,gu_kidney_bladder
dysuria,gu_kidney_bladder
Cystitis,gu_kidney_bladder
Chronic Kidney Diseases,gu_kidney_bladder
congenital kidney malformation,gu_kidney_bladder
medullary sponge kidney,gu_kidney_bladder
"kidney, chronic UTI/ gout",gu_kidney_bladder
kidney issues,gu_kidney_bladder
Kidney cysts,gu_kidney_bladder
proteinuria,gu_kidney_bladder
Glomerulonephritis,gu_kidney_bladder
duplex kidneys,gu_kidney_bladder
Intersitial Cystitis,gu_kidney_bladder
chronic kidney diease,gu_kidney_bladder
Born with 1 kidney,gu_kidney_bladder
recurrent kidney stones,gu_kidney_bladder
Chronic kidney disease,gu_kidney_bladder
kidney failure,gu_kidney_bladder
Tubulointerstitial nephritis,gu_kidney_bladder
scarred kidneys,gu_kidney_bladder
haemochromatosis ,hematology
iron deficiency anaemia ,hematology
vitamin deficiency ,hematology
hypogammaglobulinemia,hematology
clotting disorder,hematology
heamchromatosise,hematology
mineral deficiency ,hematology
low vitamin b12,hematology
Thrombocytopenia,hematology
low iron,hematology
Vitamin deficiency - zinc,hematology
iron deficiency without anemia,hematology
Vitamin deficiency anemia,hematology
alpha thalassemia,hematology
Potassium deficiency,hematology
Anemia,hematology
Autoimmune Hemolytic Anemia ,hematology
Blood clothing disorder ,hematology
Possible Tularemia,hematology
Iron Deficiency,hematology
anemia of inflammation,hematology
Alpha 1 Antitrypsin Deficiency,hematology
Anorgasmia,hematology
Hemophilia,hematology
heamolytic anemia,hematology
hyperhomocysteinemia ,hematology
aneamia,hematology
Mineral and vitamin deficiency,hematology
vitamin B6 deficiency,hematology
Blood Tinged Sputum,hematology
Chromium Deficiency (Severe),hematology
Thalassemia,hematology
Hemolytic Anemia,hematology
iron storage deficiency,hematology
thalassemia minor,hematology
Vitamin Deficiency - B12,hematology
Thrombophlebitis,hematology
vitamin b12 deficiency,hematology
perncious anemia,hematology
Sickle cell anemia,hematology
Hemochromatosis,hematology
Chronic Iron Defeciency,hematology
low iron hemochromatosis,hematology
anaemia,hematology
Reactive Thrombocytocis,hematology
Hemmorrhoids,hematology
Antiphospholipid syndrome,hematology
other coagulation disorder,hematology
Tularemia,hematology
Deep vein thrombosis,hematology
Essential thrombocythemia,hematology
Hemachromatosis,hematology
Alpha-thalassemia,hematology
Hyperammonemia,hematology
Extreme Anemia,hematology
alpha-1 antitrypsin deficiency ,hematology
hypoxemia,hematology
Aplastic anemia,hematology
Hereditary Haemochromatosis,hematology
blood clots,hematology
Thromboembolism,hematology
Iron deficiency anemia,hematology
Factor VII Blood Deficiency,hematology
Blood clotting disorder,hematology
paroxysmal nocturnal hemoglobinuria,hematology
Pernicious Anemia,hematology
white blood cells,hematology
hereditary hemochromatosis,hematology
chronic iron deficiency anemia,hematology
blood,hematology
Anti-phosholipid syndrome,hematology
Low hemoglobin,hematology
 Low White Blood Count Disorders,hematology
bowel obstruction,ibd
Chronic Pancreatitis,ibd
Crohns disease,ibd
Ischemic colitis,ibd
colitus ulcerosa,ibd
ulcerative proctitis,ibd
bowel issues,ibd
Ulcerative colitis,ibd
functional bowel disorder,ibd
Crohn's disease,ibd
Crohns,ibd
crohn,ibd
chronic pancreaitis,ibd
Bowel movement,ibd
Diverticulitis,ibd
Inflammatory bowel disease (IBD),ibd
Colitis,ibd
Crohn’s Disease,ibd
ulceritive colitis,ibd
bowel not working very well ,ibd
ulcerated colitis,ibd
Collagenous colitis,ibd
Indeterminate Colitis,ibd
